Epochs	Learning rate	Hidden nodes	Training loss	Validation loss
300	0.1	1	0.70113951564	1.16659189578
300	0.1	2	0.231315241963	0.406757191229
300	0.1	3	0.156760921519	0.256556760074
300	0.1	4	0.102115283767	0.172976844132
300	0.1	5	0.0926561125673	0.205185698822
300	0.1	6	0.127380200975	0.154277561765
300	0.1	7	0.0919420578064	0.167329314239
300	0.1	8	0.090909477481	0.169346137932
300	0.1	9	0.0839078133078	0.165076671605
300	0.1	10	0.101765948286	0.19460993312
300	0.1	11	0.0865605794486	0.157195464655
300	0.1	12	0.0765253242609	0.23673356373
300	0.1	13	0.0876594952907	0.216383267214
300	0.1	14	0.0833584102243	0.172343097273
300	0.1	15	0.0845330962047	0.269635107025
300	0.1	16	0.0837814452491	0.287348621426
300	0.1	17	0.0901937258059	0.13963622946
300	0.1	18	0.0764264024616	0.161806594907
300	0.1	19	0.0783246260517	0.196758913226
300	0.1	20	0.0765855168239	0.187648482497
300	0.1	21	0.0805049786697	0.135984658394
300	0.1	22	0.0732666740958	0.143716585906
300	0.1	23	0.09002277287	0.202646625618
300	0.1	24	0.0784285475176	0.131492397232
300	0.1	25	0.0711639058175	0.144313418608
300	0.1	26	0.0773813917342	0.139703209983
300	0.1	27	0.0680107284919	0.141480840655
300	0.1	28	0.0970838975266	0.165456793194
300	0.1	29	0.0751688396043	0.158572183272
300	0.1	30	0.0737199349064	0.153487627508
