Epochs	Learning rate	Hidden nodes	Training loss	Validation loss
100	0.1	1	0.733799062629	1.21620754813
100	0.1	2	0.29523625122	0.446505372906
100	0.1	3	0.294597404086	0.510122769467
100	0.1	4	0.167593630795	0.269687833726
100	0.1	5	0.122801183613	0.249224388465
100	0.1	6	0.120655295558	0.229629955366
100	0.1	7	0.163852426046	0.290995659965
100	0.1	8	0.149332639833	0.278409448015
100	0.1	9	0.16597203331	0.265314700501
100	0.1	10	0.162847571686	0.271105736639
100	0.1	11	0.14003032748	0.25789917278
100	0.1	12	0.15987306973	0.298658582421
100	0.1	13	0.164324185363	0.304594413369
100	0.1	14	0.171226717418	0.306845970898
100	0.1	15	0.201029220498	0.322779591969
100	0.1	16	0.190519279011	0.30872656033
100	0.1	17	0.169760320337	0.323113026466
100	0.1	18	0.146115241481	0.283911603993
100	0.1	19	0.209765469118	0.361196268542
100	0.1	20	0.19593086455	0.3849594973
100	0.1	21	0.158358007202	0.278492168598
100	0.1	22	0.125342706244	0.245681973921
100	0.1	23	0.142594022389	0.272698089015
100	0.1	24	0.168321382712	0.337193188144
100	0.1	25	0.139333733878	0.335483966543
100	0.1	26	0.140634049827	0.279395984947
100	0.1	27	0.188907805662	0.31152026141
100	0.1	28	0.253240822763	0.364771479542
100	0.1	29	0.192067550442	0.354373872563
100	0.1	30	0.169940787018	0.31882652458
100	0.1	30	0.169940787018	0.31882652458
