Epochs	Learning rate	Hidden nodes	Training loss	Validation loss
100	0.1	10	0.162847571686	0.271105736639
110	0.1	10	0.164232083321	0.287663904351
120	0.1	10	0.149486261541	0.319891262042
110	0.1	10	0.164232083321	0.287663904351
120	0.1	10	0.149486261541	0.319891262042
130	0.1	10	0.14893577395	0.249585309654
140	0.1	10	0.146295065172	0.333043964055
150	0.1	10	0.115718551111	0.204570397322
160	0.1	10	0.118402690794	0.258217581859
170	0.1	10	0.101387187125	0.241732375717
180	0.1	10	0.106125406023	0.17177854761
190	0.1	10	0.117037439414	0.191488065073
200	0.1	10	0.115953590282	0.210362116905
210	0.1	10	0.0965160342267	0.202753139724
220	0.1	10	0.109615882123	0.175190412658
230	0.1	10	0.0957252007309	0.199413620505
240	0.1	10	0.0919593394812	0.16982845507
250	0.1	10	0.0931231714401	0.19094377426
260	0.1	10	0.08939263544	0.192828515702
270	0.1	10	0.0850968179516	0.22506579309
280	0.1	10	0.093321655463	0.202767579643
290	0.1	10	0.0833133737481	0.214785177717
300	0.1	10	0.101765948286	0.19460993312
310	0.1	10	0.0987327981383	0.193554016622
320	0.1	10	0.084729968941	0.166653901108
330	0.1	10	0.0911395350418	0.171943654014
340	0.1	10	0.0833915529531	0.175790968906
350	0.1	10	0.0931190715757	0.177426141659
360	0.1	10	0.0952700543968	0.175441883536
370	0.1	10	0.0885530142701	0.185230210362
380	0.1	10	0.0917058831962	0.180067801549
390	0.1	10	0.0880453987315	0.167340076708
400	0.1	10	0.0839358769112	0.17728524155
410	0.1	10	0.0951466607223	0.157197779323
420	0.1	10	0.0805395137662	0.186100678268
430	0.1	10	0.0844704919058	0.161491138295
440	0.1	10	0.10442318506	0.207068820916
450	0.1	10	0.0855875090495	0.17135180843
460	0.1	10	0.0893222469679	0.230904627796
470	0.1	10	0.0876653952785	0.274875003671
480	0.1	10	0.0912636887278	0.197435653047
490	0.1	10	0.0822477497438	0.207345027757
500	0.1	10	0.0873888858878	0.200723735707
510	0.1	10	0.0844962619559	0.22931234822
520	0.1	10	0.0854388899003	0.187221563583
530	0.1	10	0.0862733174806	0.189842608496
540	0.1	10	0.114549517385	0.198640967549
550	0.1	10	0.0846872134946	0.182990671814
560	0.1	10	0.0796729089762	0.192482113251
570	0.1	10	0.0823055551036	0.207161562757
580	0.1	10	0.0840848949704	0.177317725635
590	0.1	10	0.0827085709972	0.181690933836
600	0.1	10	0.085459461143	0.237740847591
